free  energy   TOTEN,energy  without entropy,energy(sigma->0),kin. lattice  EKIN_LAT,nose potential ES,nose kinetic   EPS,total energy   ETOTAL,(temperature
-923.92553219,-924.02014992,-923.95707143,0.0,0.0,0.0,-917.01008,500.0
-923.91453434,-924.00951553,-923.94619474,0.0,-0.0,0.0,-917.009949,499.21
-923.88165268,-923.97776416,-923.91368984,0.0,-0.000125,0.0,-917.009952,496.85
-923.82657172,-923.92452794,-923.85922379,0.0,-0.00075,6e-06,-917.009821,492.92
-923.7500631,-923.85052983,-923.78355201,0.0,-0.0025,3.9e-05,-917.009673,487.52
-923.65309606,-923.7566795,-923.68762387,0.0,-0.00623,0.000155,-917.009543,480.78
-923.53645337,-923.64369373,-923.57220016,0.0,-0.013012,0.000466,-917.00936,472.83
-923.40119917,-923.5125694,-923.43832258,0.0,-0.024107,0.001163,-917.009217,463.81
-923.24849946,-923.3644086,-923.28713584,0.0,-0.040947,0.002541,-917.009017,453.9
-923.07979834,-923.20059859,-923.12006509,0.0,-0.065104,0.005016,-917.008861,443.28
-922.89651284,-923.02250845,-922.93851137,0.0,-0.098265,0.009137,-917.008727,432.14
-922.70008115,-922.83153773,-922.74390001,0.0,-0.142198,0.015595,-917.008566,420.66
-922.49207872,-922.62923116,-922.5377962,0.0,-0.198727,0.025216,-917.008477,409.02
-922.27391209,-922.41696164,-922.32159528,0.0,-0.269698,0.038952,-917.008297,397.4
-922.04726163,-922.19637336,-922.09696554,0.0,-0.356959,0.057858,-917.008149,385.96
-921.81376148,-921.96904542,-921.8655228,0.0,-0.462323,0.083067,-917.008093,374.88
-921.57477187,-921.73625289,-921.62859888,0.0,-0.587551,0.115748,-917.007901,364.31
-921.33199078,-921.49956753,-921.3878497,0.0,-0.734321,0.157069,-917.007753,354.39
-921.08691296,-921.26030819,-921.14471137,0.0,-0.904208,0.208142,-917.007655,345.26
-920.84094115,-921.01965032,-920.90051087,0.0,-1.09866,0.269978,-917.007491,337.08
-920.59547993,-920.77872857,-920.65656281,0.0,-1.318976,0.343419,-917.007313,329.97
-920.35182494,-920.53854711,-920.41406566,0.0,-1.566285,0.429095,-917.007157,324.05
-920.11121534,-920.30006336,-920.17416468,0.0,-1.841527,0.527355,-917.006909,319.46
-919.87494223,-920.06433243,-919.9380723,0.0,-2.145428,0.638199,-917.00663,316.36
-919.64411396,-919.83229783,-919.70684192,0.0,-2.478479,0.761222,-917.006308,314.88
-919.41971856,-919.60485933,-919.48143215,0.0,-2.840916,0.89555,-917.005911,315.18
-919.20265508,-919.38289288,-919.26273435,0.0,-3.232688,1.039782,-917.005482,317.41
-918.99368566,-919.16718171,-919.05151767,0.0,-3.653439,1.191943,-917.005009,321.76
-918.79342741,-918.95838929,-918.8484147,0.0,-4.102478,1.349431,-917.004467,328.4
-918.60240454,-918.7571002,-918.65396976,0.0,-4.578747,1.508993,-917.003873,337.53
-918.42101209,-918.56374899,-918.46859106,0.0,-5.080793,1.666705,-917.003245,349.35
-918.24942746,-918.37859252,-918.29248248,0.0,-5.606735,1.817992,-917.002582,364.08
-918.08756272,-918.20126788,-918.12546444,0.0,-6.154231,1.95768,-917.001868,381.92
-917.93550388,-918.03230697,-917.96777157,0.0,-6.720444,2.080114,-917.001256,403.05
-917.79287967,-917.87120674,-917.81898869,0.0,-7.302015,2.179277,-917.000639,427.66
-917.65910517,-917.71765734,-917.67862256,0.0,-7.89503,2.249076,-917.000056,455.86
-917.53339431,-917.57142751,-917.54607204,0.0,-8.495007,2.283651,-916.999513,487.69
